ID,nome,nascimento,nacionalidade,clube_id,altura,posicao,pe_preferido
1,Renato,,BR,13,,,
2,Roberto,,BR,13,,,
3,Moreira,,BR,13,,,
4,Souza,,BR,13,,,
5,Zé Oto,,BR,13,,,
6,Eliseu,,BR,13,,,
7,Caldeira,,BR,13,,,
8,Amorim,,BR,13,,,
9,Baiaco,,BR,13,,,
10,Carlinhos,,BR,13,,,
11,Ademir,,BR,13,,,
12,Carlos,,BR,2,,,
13,Marçal,,BR,2,,,
14,Ramos Delgado,,AR,2,,,
15,Turcão,,BR,2,,,
16,Orlando,,BR,2,,,
17,Dicá,,BR,2,,,
18,Clodoaldo,,BR,2,,,
19,Jáder,,BR,2,,,
20,Pelé,,BR,2,,,
21,Mazinho,,BR,2,,,
22,Edu,,BR,2,,,
23,Adilson,,BR,,,,
24,Davi,,BR,,,,
