cidade_estadio,estadio_nome,link_estadio,nome_completo_estadio,origem,partida
Ano de Inauguração,Campeonato Nacional de Clubes 1971,https://www.ogol.com.br/edicao/campeonato-nacional-de-clubes-1971/2477,Data de Nascimento,estadio,1-1
Ano de Inauguração,Campeonato Nacional de Clubes 1971,https://www.ogol.com.br/edicao/campeonato-nacional-de-clubes-1971/2477,Data de Nascimento,estadio,0-0
Ano de Inauguração,Campeonato Nacional de Clubes 1971,https://www.ogol.com.br/edicao/campeonato-nacional-de-clubes-1971/2477,Data de Nascimento,estadio,0-2
,Campeonato Nacional de Clubes 1971,https://www.ogol.com.br/edicao/campeonato-nacional-de-clubes-1971/2477,,,0-2
,Campeonato Nacional de Clubes 1971,https://www.ogol.com.br/edicao/campeonato-nacional-de-clubes-1971/2477,,,2-1
,Campeonato Nacional de Clubes 1971,https://www.ogol.com.br/edicao/campeonato-nacional-de-clubes-1971/2477,,,1-1
,Campeonato Nacional de Clubes 1971,https://www.ogol.com.br/edicao/campeonato-nacional-de-clubes-1971/2477,Data de Nascimento/Idade,estadio,1-1
,Campeonato Nacional de Clubes 1971,https://www.ogol.com.br/edicao/campeonato-nacional-de-clubes-1971/2477,,,2-0
,Campeonato Nacional de Clubes 1971,https://www.ogol.com.br/edicao/campeonato-nacional-de-clubes-1971/2477,,,0-0
,Campeonato Nacional de Clubes 1971,https://www.ogol.com.br/edicao/campeonato-nacional-de-clubes-1971/2477,Data de Nascimento,estadio,0-1
,Campeonato Nacional de Clubes 1971,https://www.ogol.com.br/edicao/campeonato-nacional-de-clubes-1971/2477,,,0-3
,Campeonato Nacional de Clubes 1971,https://www.ogol.com.br/edicao/campeonato-nacional-de-clubes-1971/2477,Data de Nascimento/Idade,estadio,4-0
,Campeonato Nacional de Clubes 1971,https://www.ogol.com.br/edicao/campeonato-nacional-de-clubes-1971/2477,Data de Nascimento,estadio,2-1
,Campeonato Nacional de Clubes 1971,https://www.ogol.com.br/edicao/campeonato-nacional-de-clubes-1971/2477,Data de Nascimento,estadio,1-1
