apelido,cidade,estado,fundacao,nome_completo,time,tipo
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Bahia,mandante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Santos,visitante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Atlético Mineiro,mandante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,América Mineiro,visitante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Botafogo,mandante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,America-RJ,visitante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Santa Cruz,mandante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Corinthians,visitante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Sport,mandante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Flamengo,visitante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,São Paulo,mandante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Grêmio,visitante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Internacional,mandante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Fluminense,visitante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Palmeiras,mandante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Portuguesa,visitante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Ceará,mandante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Vasco,visitante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Coritiba,mandante
Ano de Fundação,País,Marca Uniforme,Cidade,Apelidos,Cruzeiro,visitante
