id,clube,apelido,local_id,fundacao,ativo
1,São Paulo Futebol Clube,Tricolor Paulista,1,1930-01-25,1
2,Clube de Regatas do Flamengo,"Mengão, Fla, Rubro-Negro",2,1895-11-15,1
3,Sport Club Internacional,Colorado,3,1909-04-04,1
4,Associação Portuguesa de Desportos,Lusa,1,1920-08-14,1
5,Santa Cruz Futebol Clube,"Santa, Santinha, Tricolor do Arruda, O Mais Querido, Cobra Coral",4,1914-02-03,1
6,Sociedade Esportiva Palmeiras,"Verdão, Alviverde",1,1914-08-26,1
7,Cruzeiro Esporte Clube,Raposa,5,1921-01-02,1
8,Ceará Sporting Club,Vozão,6,1914-06-02,1
9,Fluminense Football Club,"Tricolor das Laranjeiras, Flu, Time de Guerreiros, Fluzão, Pó de Arroz",2,1902-07-21,1
10,Sport Club Corinthians Paulista,"Timão, Coringão",1,1910-09-01,1
11,Clube Atlético Mineiro,Galo,5,1908-03-25,1
12,Esporte Clube Bahia,"Tricolor de Aço, Esquadrão de Aço",7,1931-01-01,1
13,America Football Club,"Rubro, Mecão, Diabo, Sangue",2,1904-09-18,1
