id,partida_id,jogador_id,clube_id,titular,tipo_evento,tipo_gol,minuto
1,1,7,1,,Substituição,,n/d
2,1,11,1,,Substituição,,n/d
3,1,19,2,,Substituição,,n/d
4,1,21,2,,Substituição,,n/d
5,1,23,1,,Entrou,,n/d
6,1,24,1,,Entrou,,n/d
7,1,25,2,,Entrou,,n/d
8,1,26,2,,Entrou,,n/d
9,2,34,3,,Substituição,,n/d
10,2,37,3,,Substituição,,n/d
11,2,47,4,,Substituição,,n/d
12,2,49,3,,Entrou,,n/d
13,2,50,3,,Entrou,,n/d
14,2,51,4,,Entrou,,n/d
15,2,51,4,,Gol,,63
16,3,61,5,,Gol,,20
17,3,62,5,,Substituição,,n/d
18,3,69,6,,Gol,,71
19,3,70,6,,Gol,,78
20,3,73,6,,Substituição,,n/d
21,3,74,5,,Entrou,,n/d
22,3,74,5,,Gol,,88
23,3,75,6,,Entrou,,n/d
24,4,79,7,,Gol,,69
25,4,83,7,,Gol,,39
26,4,85,7,,Gol,,42 56
27,4,85,7,,Substituição,,n/d
28,4,86,7,,Gol,,24
29,4,86,7,,Substituição,,n/d
30,4,93,8,,Substituição,,n/d
31,4,94,8,,Substituição,,n/d
32,4,98,7,,Entrou,,n/d
33,4,98,7,,Gol,,78
34,4,99,7,,Entrou,,n/d
35,4,100,8,,Entrou,,n/d
36,4,101,8,,Entrou,,n/d
37,5,122,10,,Gol,,57
38,6,129,11,,Substituição,,n/d
39,6,133,11,,Gol,,40 54
40,6,24,1,,Substituição,,n/d
41,6,135,11,,Entrou,,n/d
42,6,7,1,,Entrou,,n/d
43,7,142,12,,Gol,,67
44,7,143,12,,Substituição,,n/d
45,7,144,12,,Substituição,,n/d
46,7,151,13,,Gol,,26
47,7,153,13,,Substituição,,n/d
48,7,155,13,,Gol,,84
49,7,156,13,,Substituição,,n/d
50,7,158,12,,Entrou,,n/d
51,7,159,12,,Entrou,,n/d
52,7,160,13,,Entrou,,n/d
53,7,161,13,,Entrou,,n/d
54,7,161,13,,Gol,,87
