apelido,cidade,estado,fundacao,nome,pais,visitante
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Santos
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,América Mineiro
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,America-RJ
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Corinthians
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Flamengo
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Grêmio
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Fluminense
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Portuguesa
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Vasco
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Cruzeiro
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Santos
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Flamengo
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Grêmio
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Corinthians
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Portuguesa
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Vasco
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,America-RJ
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Atlético Mineiro
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Botafogo
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,São Paulo
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Internacional
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Sport
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Santa Cruz
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Vasco
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Palmeiras
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Portuguesa
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Grêmio
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Botafogo
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Coritiba
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,São Paulo
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Fluminense
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Santa Cruz
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Atlético Mineiro
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Cruzeiro
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Palmeiras
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,America-RJ
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Botafogo
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,São Paulo
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Portuguesa
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Cruzeiro
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Internacional
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Fluminense
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Bahia
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Sport
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,América Mineiro
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,America-RJ
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Portuguesa
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Atlético Mineiro
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,América Mineiro
Apelidos,Cidade,Estado,Ano de Fundação,Nome,País,Vasco
